x,y,theta,q1,q2
2.0,0.0,0.0,0.0,0.0
1.9974,0.0715,0.07158059210710921,0.0,0.07158059210710921
1.9898,0.1427,0.14316118421421842,0.0,0.14316118421421842
1.977,0.2131,0.21474177632132763,0.0,0.21474177632132763
1.9593,0.2824,0.28632236842843684,0.0,0.28632236842843684
1.9366,0.3503,0.35790296053554604,0.0,0.35790296053554604
1.9092,0.4164,0.42948355264265525,0.0,0.42948355264265525
1.8771,0.4804,0.5010641447497645,0.0,0.5010641447497645
1.8405,0.5419,0.5726447368568737,0.0,0.5726447368568737
1.7996,0.6006,0.6442253289639829,0.0,0.6442253289639829
1.7546,0.6562,0.7158059210710921,0.0,0.7158059210710921
1.7057,0.7085,0.7873865131782013,0.0,0.7873865131782013
1.6532,0.7572,0.8589671052853105,0.0,0.8589671052853105
1.5974,0.8019,0.9305476973924197,0.0,0.9305476973924197
1.5385,0.8426,1.002128289499529,0.0,1.002128289499529
1.4769,0.879,1.0737088816066382,0.0,1.0737088816066382
1.4128,0.9108,1.1452894737137473,0.0,1.1452894737137473
1.3466,0.938,1.2168700658208564,0.0,1.2168700658208564
1.2786,0.9604,1.2884506579279658,0.0,1.2884506579279658
1.2092,0.9779,1.360031250035075,0.0,1.360031250035075
1.1387,0.9903,1.4316118421421842,0.0,1.4316118421421842
1.0676,0.9977,1.5031924342492933,0.0,1.5031924342492933
0.996,1.0,1.5747730263564026,0.0,1.5747730263564026
0.9245,0.9971,1.646353618463512,0.0,1.646353618463512
0.8534,0.9892,1.717934210570621,0.0,1.717934210570621
0.783,0.9762,1.78951480267773,0.0,1.78951480267773
0.7138,0.9582,1.8610953947848394,0.0,1.8610953947848394
0.646,0.9352,1.9326759868919487,0.0,1.9326759868919487
0.58,0.9075,2.004256578999058,0.0,2.004256578999058
0.5162,0.8752,2.075837171106167,0.0,2.075837171106167
0.4548,0.8383,2.1474177632132765,0.0,2.1474177632132765
0.3962,0.7972,2.2189983553203856,0.0,2.2189983553203856
0.3408,0.7519,2.2905789474274947,0.0,2.2905789474274947
0.2887,0.7029,2.362159539534604,0.0,2.362159539534604
0.2402,0.6502,2.433740131641713,0.0,2.433740131641713
0.1957,0.5942,2.5053207237488224,0.0,2.5053207237488224
0.1552,0.5352,2.5769013158559315,0.0,2.5769013158559315
0.1191,0.4734,2.6484819079630406,0.0,2.6484819079630406
0.0875,0.4092,2.72006250007015,0.0,2.72006250007015
0.0606,0.3429,2.7916430921772593,0.0,2.7916430921772593
0.0385,0.2748,2.8632236842843684,0.0,2.8632236842843684
0.0213,0.2053,2.9348042763914775,0.0,2.9348042763914775
0.0091,0.1348,3.0063848684985865,0.0,3.0063848684985865
0.002,0.0636,3.077965460605696,0.0,3.077965460605696
0.0,-0.008,3.149546052712805,0.0,3.149546052712805
0.0032,-0.0795,3.2211266448199143,0.0,3.2211266448199143
0.0114,-0.1505,3.292707236927024,0.0,3.292707236927024
0.0247,-0.2209,3.364287829034133,0.0,3.364287829034133
0.043,-0.29,3.435868421141242,0.0,3.435868421141242
0.0662,-0.3577,3.507449013248351,0.0,3.507449013248351
0.0942,-0.4236,3.57902960535546,0.0,3.57902960535546
